Vernacular name,International name,Scientific name,Category,Sort
Nightjar,European Nightjar,Caprimulgus europaeus,A,311
Red-necked Nightjar,,Caprimulgus ruficollis,B,312
Egyptian Nightjar,,Caprimulgus aegyptius,A,313
Common Nighthawk,,Chordeiles minor,A,314
Chimney Swift,,Chaetura pelagica,A,315
Needle-tailed Swift,White-throated Needletail,Hirundapus caudacutus,A,316
Swift,Common Swift,Apus apus,A,317
Pallid Swift,,Apus pallidus,A,318
Pacific Swift,,Apus pacificus,A,319
Alpine Swift,,Apus melba,A,320
Little Swift,,Apus affinis,A,321
Hoopoe,Eurasian Hoopoe,Upupa epops,A,322
Blue-cheeked Bee-eater,,Merops persicus,A,323
Bee-eater,European Bee-eater,Merops apiaster,A,324
Roller,European Roller,Coracias garrulus,A,325
Kingfisher,Common Kingfisher,Alcedo atthis,A,326
Belted Kingfisher,,Megaceryle alcyon,A,327
Wryneck,Eurasian Wryneck,Jynx torquilla,A,328
Green Woodpecker,European Green Woodpecker,Picus viridis,A,329
Yellow-bellied Sapsucker,,Sphyrapicus varius,A,330
Great Spotted Woodpecker,,Dendrocopos major,A,331
Lesser Spotted Woodpecker,,Dendrocopos minor,A,332
Lesser Kestrel,,Falco naumanni,A,333
Kestrel,Common Kestrel,Falco tinnunculus,A,334
American Kestrel,,Falco sparverius,AE,335
Red-footed Falcon,,Falco vespertinus,A,336
Amur Falcon,,Falco amurensis,A,337
Merlin,,Falco columbarius,A,338
Hobby,Eurasian Hobby,Falco subbuteo,A,339
Eleonora's Falcon,,Falco eleonorae,A,340
Gyr Falcon,Gyrfalcon,Falco rusticolus,AE,341
Peregrine,Peregrine Falcon,Falco peregrinus,AE,342
Ring-necked Parakeet,Rose-ringed Parakeet,Psittacula krameri,C1E,343
Eastern Phoebe,,Sayornis phoebe,A,344
Acadian Flycatcher,,Empidonax virescens,A,345
Alder Flycatcher,,Empidonax alnorum,A,346
Yellow-throated Vireo,,Vireo flavifrons,A,347
Philadelphia Vireo,,Vireo philadelphicus,A,348
Red-eyed Vireo,,Vireo olivaceus,A,349
Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,A,350
Brown Shrike,,Lanius cristatus,A,351
Isabelline Shrike,Isabelline Shrike & Red-tailed Shrike,Lanius isabellinus,A,352
Red-backed Shrike,,Lanius collurio,A,353
Long-tailed Shrike,,Lanius schach,A,354
Lesser Grey Shrike,,Lanius minor,A,355
Great Grey Shrike,,Lanius excubitor,A,356
Southern Grey Shrike,,Lanius meridionalis,A,357
Woodchat Shrike,,Lanius senator,A,358
Masked Shrike,,Lanius nubicus,A,359
